id,utm_x,utm_y,wgs_x,wgs_y,year,month,batch
1,1182000,-3349000,144.4372455,-30.25066812,2018,9,4
2,886000,-3349000,141.3355844,-30.47546466,2018,4,2
3,1622000,-3961000,149.9146299,-35.22451482,2016,11,3
4,954000,-3349000,142.0492379,-30.42947464,2019,7,4
5,914000,-3349000,141.629515,-30.45693671,2017,8,3
6,926000,-3353000,141.7586668,-30.48440978,2019,2,2
7,870000,-3353000,141.1705998,-30.521397,2016,1,1
8,1678000,-3965000,150.5310058,-35.18853004,2019,10,1
9,1010000,-3353000,142.6399833,-30.42463328,2019,9,3
10,1498000,-3965000,148.5666915,-35.41025115,2017,10,1
11,1230000,-3965000,145.6276633,-35.69467998,2016,7,2
12,1306000,-3965000,146.4627282,-35.6196016,2016,7,2
13,1910000,-3349000,151.9962348,-29.42829831,2018,1,3
14,1794000,-3349000,150.7998104,-29.58476174,2017,4,4
15,1142000,-3965000,144.6592883,-35.77606941,2017,5,3
16,2022000,-3349000,153.1480597,-29.26817581,2019,7,1
17,1702000,-3469000,150.0249293,-30.76211526,2016,10,1
18,1258000,-3469000,145.3629377,-31.24791038,2019,10,2
19,1398000,-3469000,146.8373917,-31.11021692,2019,8,2
20,1094000,-3469000,143.6311929,-31.39095494,2016,9,4
21,1222000,-3469000,144.9831982,-31.28100031,2019,2,3
22,1622000,-4081000,150.1011761,-36.29457458,2018,9,3
23,890000,-3469000,141.4711462,-31.54127856,2017,7,2
24,862000,-3473000,141.1772703,-31.59515574,2016,3,1
25,982000,-3473000,142.4495035,-31.51289398,2019,11,2
26,1470000,-4085000,148.4301781,-36.51512951,2018,11,2
27,1606000,-4085000,149.9311901,-36.35058572,2019,6,1
28,1554000,-4085000,149.3578391,-36.41517673,2016,9,4
29,1934000,-3473000,152.449339,-30.48680649,2017,8,2
30,1886000,-3473000,151.9501188,-30.55424985,2016,11,2
31,1686000,-3473000,149.8635766,-30.81746012,2018,8,1
32,1802000,-3473000,151.0750121,-30.66830186,2016,7,4
33,1358000,-3473000,146.4212799,-31.18650814,2018,2,1
34,1182000,-3473000,144.5651629,-31.35220351,2016,9,4
35,1074000,-3473000,143.423491,-31.44263218,2018,7,3
36,1294000,-3473000,145.7469938,-31.24938424,2016,5,2
37,1230000,-3473000,145.071938,-31.30926374,2017,6,4
38,1054000,-3477000,143.2155897,-31.49402828,2018,11,1
39,1062000,-3477000,143.3002759,-31.48773939,2016,12,3
40,874000,-3477000,141.3076768,-31.62304798,2019,8,4
